what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1279503364894
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1279503364904
started,bundle,org.eclipse.mylyn.bugzilla.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1279503364915
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1279503364928
started,bundle,org.eclipse.mylyn.commons.net,3.3.0.v20091013-0200-e3x,"org.eclipse.mylyn.commons.net",1279503364929
started,bundle,org.eclipse.mylyn.commons.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.commons.ui",1279503364931
started,bundle,org.eclipse.mylyn.context.core,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.core",1279503364932
started,bundle,org.eclipse.mylyn.monitor.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.monitor.ui",1279503364933
started,bundle,org.eclipse.dltk.core,1.0.2.v20100209-1928,"org.eclipse.dltk.core",1279503364942
started,bundle,org.eclipse.dltk.launching,1.0.1.v20090910-1601,"org.eclipse.dltk.launching",1279503364953
started,bundle,org.eclipse.dltk.ui,1.0.2.v20100209-1928,"org.eclipse.dltk.ui",1279503364967
os,sysinfo,,,"linux",1279503364973
arch,sysinfo,,,"x86",1279503364973
ws,sysinfo,,,"gtk",1279503364973
locale,sysinfo,,,"en_US",1279503364973
processors,sysinfo,,,"2",1279503364973
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1279503364973
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1279503364973
java.specification.name,sysinfo,,,"Java Platform API Specification",1279503364973
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1279503364973
java.specification.version,sysinfo,,,"1.6",1279503364973
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1279503364973
java.version,sysinfo,,,"1.6.0_20",1279503364973
java.vm.info,sysinfo,,,"mixed mode, sharing",1279503364973
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1279503364973
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1279503364973
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1279503364973
java.vm.specification.version,sysinfo,,,"1.0",1279503364973
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1279503364973
java.vm.version,sysinfo,,,"16.3-b01",1279503364973
started,bundle,org.eclipse.mylyn.context.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.context.ui",1279503365020
started,bundle,org.eclipse.mylyn.tasks.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.tasks.ui",1279503365207
started,bundle,org.eclipse.mylyn.team.ui,3.3.2.v20100222-0100-e3x,"org.eclipse.mylyn.team.ui",1279503365214
started,bundle,org.eclipse.php.debug.daemon,2.1.1.v20090707-1108,"org.eclipse.php.debug.daemon",1279503365246
started,bundle,org.eclipse.team.svn.mylyn,0.7.8.I20091023-1300,"org.eclipse.team.svn.mylyn",1279503365288
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1279503365994
started,bundle,org.eclipse.php.server.core,2.1.1.v20090707-1108,"org.eclipse.php.server.core",1279503365997
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1279503366172
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1279503366293
started,bundle,org.eclipse.php.core,2.1.1.v20090921-1100,"org.eclipse.php.core",1279503366308
